Strata,unique_id,LCC,Bgy_Name,Mun_Name,Pro_Name
2,230B2,Dipterocarp Forest Closed,Pinagalaan,CITY OF BAYUGAN,AGUSAN DEL SUR
2,230C2,Dipterocarp Forest Closed,Pinagalaan,CITY OF BAYUGAN,AGUSAN DEL SUR
2,230D2,Dipterocarp Forest Closed,Pinagalaan,CITY OF BAYUGAN,AGUSAN DEL SUR
2,231B2,Dipterocarp Forest Closed,Pungtod,BACUAG,SURIGAO DEL NORTE
2,231C2,Dipterocarp Forest Closed,Pungtod,BACUAG,SURIGAO DEL NORTE
2,231D2,Dipterocarp Forest Closed,Pungtod,BACUAG,SURIGAO DEL NORTE
2,232B2,Dipterocarp Forest Closed,Sico-sico,GIGAQUIT,SURIGAO DEL NORTE
2,232C2,Dipterocarp Forest Closed,Sico-sico,GIGAQUIT,SURIGAO DEL NORTE
2,232D2,Dipterocarp Forest Closed,Sico-sico,GIGAQUIT,SURIGAO DEL NORTE
2,233B2,Dipterocarp Forest Closed,Cabantao,ROSARIO,AGUSAN DEL SUR
2,233C2,Dipterocarp Forest Closed,Cabantao,ROSARIO,AGUSAN DEL SUR
2,233D2,Dipterocarp Forest Closed,Cabantao,ROSARIO,AGUSAN DEL SUR
2,234B2,Dipterocarp Forest Closed,Anibongan,LINGIG,SURIGAO DEL SUR
2,234C2,Dipterocarp Forest Closed,Anibongan,LINGIG,SURIGAO DEL SUR
2,234D2,Dipterocarp Forest Closed,Anibongan,LINGIG,SURIGAO DEL SUR
2,235B2,Dipterocarp Forest Closed,Kasapa_part of Bukidnon,Loreto,AGUSAN DEL SUR
2,235C2,Dipterocarp Forest Closed,Kasapa_part of Bukidnon,Loreto,AGUSAN DEL SUR
2,235D2,Dipterocarp Forest Closed,Kasapa_part of Bukidnon,Loreto,AGUSAN DEL SUR
2,236B2,Dipterocarp Forest Closed,Sinobong,Veruela_part_of Davao de Oro,AGUSAN DEL SUR
2,236C2,Dipterocarp Forest Closed,Sinobong,Veruela_part_of Davao de Oro,AGUSAN DEL SUR
2,236D2,Dipterocarp Forest Closed,Sinobong,Veruela_part_of Davao de Oro,AGUSAN DEL SUR
2,237B2,Dipterocarp Forest Closed,Navarro,TUBAJON,DINAGAT ISLANDS
2,237C2,Dipterocarp Forest Closed,Navarro,TUBAJON,DINAGAT ISLANDS
2,237D2,Dipterocarp Forest Closed,Navarro,TUBAJON,DINAGAT ISLANDS
2,238B2,Dipterocarp Forest Closed,Segunda,ESPERANZA,AGUSAN DEL SUR
2,238C2,Dipterocarp Forest Closed,Segunda,ESPERANZA,AGUSAN DEL SUR
2,238D2,Dipterocarp Forest Closed,Segunda,ESPERANZA,AGUSAN DEL SUR
2,239B2,Dipterocarp Forest Closed,Bagyang,SAN MIGUEL,SURIGAO DEL SUR
2,239C2,Dipterocarp Forest Closed,Bagyang,SAN MIGUEL,SURIGAO DEL SUR
2,239D2,Dipterocarp Forest Closed,Bagyang,SAN MIGUEL,SURIGAO DEL SUR
2,240B2,Dipterocarp Forest Closed,Salug,ESPERANZA,AGUSAN DEL SUR
2,240C2,Dipterocarp Forest Closed,Salug,ESPERANZA,AGUSAN DEL SUR
2,240D2,Dipterocarp Forest Closed,Salug,ESPERANZA,AGUSAN DEL SUR
2,241B2,Dipterocarp Forest Closed,Carmen_part of Mis_or,Carmen_part of Mis_or,AGUSAN DEL NORTE
2,241C2,Dipterocarp Forest Closed,Carmen_part of Mis_or,Carmen_part of Mis_or,AGUSAN DEL NORTE
2,241D2,Dipterocarp Forest Closed,Carmen_part of Mis_or,Carmen_part of Mis_or,AGUSAN DEL NORTE
2,242B2,Dipterocarp Forest Closed,Mahayahay,SAN LUIS,AGUSAN DEL SUR
2,242C2,Dipterocarp Forest Closed,Mahayahay,SAN LUIS,AGUSAN DEL SUR
2,242D2,Dipterocarp Forest Closed,Mahayahay,SAN LUIS,AGUSAN DEL SUR
2,243B2,Dipterocarp Forest Closed,Boa,CAGDIANAO,DINAGAT ISLANDS
2,243C2,Dipterocarp Forest Closed,Boa,CAGDIANAO,DINAGAT ISLANDS
2,243D2,Dipterocarp Forest Closed,Boa,CAGDIANAO,DINAGAT ISLANDS
2,244B2,Dipterocarp Forest Closed,San Juan,CITY OF BAYUGAN,AGUSAN DEL SUR
2,244C2,Dipterocarp Forest Closed,San Juan,CITY OF BAYUGAN,AGUSAN DEL SUR
2,244D2,Dipterocarp Forest Closed,San Juan,CITY OF BAYUGAN,AGUSAN DEL SUR
2,245B2,Dipterocarp Forest Closed,Milagros,ESPERANZA,AGUSAN DEL SUR
2,245C2,Dipterocarp Forest Closed,Milagros,ESPERANZA,AGUSAN DEL SUR
2,245D2,Dipterocarp Forest Closed,Milagros,ESPERANZA,AGUSAN DEL SUR
2,246B2,Dipterocarp Forest Closed,Tabon-tabon,SIBAGAT,AGUSAN DEL SUR
2,246C2,Dipterocarp Forest Closed,Tabon-tabon,SIBAGAT,AGUSAN DEL SUR
2,246D2,Dipterocarp Forest Closed,Tabon-tabon,SIBAGAT,AGUSAN DEL SUR
2,247B2,Dipterocarp Forest Closed,Kasapa,LORETO,AGUSAN DEL SUR
2,247C2,Dipterocarp Forest Closed,Kasapa,LORETO,AGUSAN DEL SUR
2,247D2,Dipterocarp Forest Closed,Kasapa,LORETO,AGUSAN DEL SUR
2,248B2,Dipterocarp Forest Closed,San Pedro,MARIHATAG,SURIGAO DEL SUR
2,248C2,Dipterocarp Forest Closed,San Pedro,MARIHATAG,SURIGAO DEL SUR
